,1,2,3,4
1011,1.0,0.0,0.0,0.0
1012,0.0,1.0,0.0,0.0
1013,1.0,0.0,0.0,0.0
1014,0.0,1.0,0.0,0.0
1015,1.0,0.0,0.0,0.0
1016,0.0,0.0,1.0,0.0
1017,0.0,0.0,0.0,1.0
1018,0.0,1.0,0.0,0.0
1019,1.0,0.0,0.0,0.0
1020,0.0,1.0,0.0,0.0
1021,0.0,0.0,1.0,0.0
1022,0.0,1.0,0.0,0.0
1023,0.25,0.25,0.25,0.25
1024,0.25,0.25,0.25,0.25
1025,0.25,0.25,0.25,0.25
1026,0.25,0.25,0.25,0.25
1027,0.25,0.25,0.25,0.25
1028,0.25,0.25,0.25,0.25
1029,0.25,0.25,0.25,0.25
1030,0.25,0.25,0.25,0.25
1031,0.25,0.25,0.25,0.25
1032,0.25,0.25,0.25,0.25
1033,0.25,0.25,0.25,0.25
1034,0.25,0.25,0.25,0.25
1035,0.25,0.25,0.25,0.25
1036,0.25,0.25,0.25,0.25
1037,0.25,0.25,0.25,0.25
1038,0.25,0.25,0.25,0.25
1039,0.25,0.25,0.25,0.25
1040,0.25,0.25,0.25,0.25
1041,0.25,0.25,0.25,0.25
1042,0.25,0.25,0.25,0.25
1043,0.25,0.25,0.25,0.25
1044,0.25,0.25,0.25,0.25
1045,0.25,0.25,0.25,0.25
1046,0.25,0.25,0.25,0.25
1047,0.25,0.25,0.25,0.25
1048,0.25,0.25,0.25,0.25
1049,0.25,0.25,0.25,0.25
1050,0.25,0.25,0.25,0.25
1051,0.25,0.25,0.25,0.25
1052,0.25,0.25,0.25,0.25
1053,0.25,0.25,0.25,0.25
1054,0.25,0.25,0.25,0.25
1055,0.25,0.25,0.25,0.25
1056,0.25,0.25,0.25,0.25
1057,0.25,0.25,0.25,0.25
1058,0.25,0.25,0.25,0.25
1059,0.25,0.25,0.25,0.25
1060,0.25,0.25,0.25,0.25
